id,name,description,price,name_clean,description_clean,price_clean,brand_clean,price_flag
552,Sony Turntable - PSLX350H,Sony Turntable - PSLX350H/ Belt Drive System/ 33-1/3 and 45 RPM Speeds/ Servo Speed Control/ Supplied Moving Magnet Phono Cartridge/ Bonded Diamond Stylus/ Static Balance Tonearm/ Pitch Control,,sony turntable  pslx350h,sony turntable  pslx350h belt drive system 3313 and 45 rpm speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control,,sony,True
580,Bose Acoustimass 5 Series III Speaker System - AM53BK,Bose Acoustimass 5 Series III Speaker System - AM53BK/ 2 Dual Cube Speakers With Two 2-1/2' Wide-range Drivers In Each Speaker/ Powerful Bass Module With Two 5-1/2' Woofers/ 200 Watts Max Power/ Black Finish,$399.00,bose acoustimass 5 series iii speaker system  am53bk,bose acoustimass 5 series iii speaker system  am53bk 2 dual cube speakers with two 212 widerange drivers in each speaker powerful bass module with two 512 woofers 200 watts max power black finish,399.0,bose,False
4696,Sony Switcher - SBV40S,Sony Switcher - SBV40S/ Eliminates Disconnecting And Reconnecting Cables/ Compact Design/ 4 A/V Inputs With S-Video Jacks/ 1 A/V Output With S-Video (Y/C)Jack/ 2 Audio Output,$49.00,sony switcher  sbv40s,sony switcher  sbv40s eliminates disconnecting and reconnecting cables compact design 4 av inputs with svideo jacks 1 av output with svideo ycjack 2 audio output,49.0,sony,False
5644,Sony 5 Disc CD Player - CDPCE375,Sony 5 Disc CD Player- CDPCE375/ 5 Disc Changer/ Variable Line Output/ CD-R/RW Playback Capability/ 20 Track Music Calendar/ Digital Servo Control/ Remote Commander Remote Control,,sony 5 disc cd player  cdpce375,sony 5 disc cd player cdpce375 5 disc changer variable line output cdrrw playback capability 20 track music calendar digital servo control remote commander remote control,,sony,True
6284,Bose 27028 161 Bookshelf Pair Speakers In White - 161WH,Bose 161 Bookshelf Speakers In White - 161WH/ Articulated Array Speaker Design/ High-Excursion Twiddler Drivers/ Magnetically Shielded/ Priced Per Pair/ White Finish,$158.00,bose 27028 161 bookshelf pair speakers in white  161wh,bose 161 bookshelf speakers in white  161wh articulated array speaker design highexcursion twiddler drivers magnetically shielded priced per pair white finish,158.0,bose,False
6493,Denon Stereo Tuner - TU1500RD,Denon Stereo Tuner - TU1500RD/ RDS Radio Data System/ AM-FM 40 Station Random Memory/ Rotary Tuning Knob/ Dot Matrix FL Display/ Optional Remote,$375.00,denon stereo tuner  tu1500rd,denon stereo tuner  tu1500rd rds radio data system amfm 40 station random memory rotary tuning knob dot matrix fl display optional remote,375.0,denon,False
6726,KitchenAid Pasta Roller And Cutter - KPRA,KitchenAid Pasta Roller And Cutter - KPRA/ One Pasta Roller/ Two Pasta Cutters/ Cleaning Brush/ Chrome Finish,,kitchenaid pasta roller and cutter  kpra,kitchenaid pasta roller and cutter  kpra one pasta roller two pasta cutters cleaning brush chrome finish,,kitchenaid,True
7195,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10/ Clip On Style/ 13.5 MM Driver Unit/ Blue Finish,,sony verticalintheear stereo headphones  mdrj10,sony verticalintheear stereo headphones  mdrj10 clip on style 135 mm driver unit blue finish,,sony,True
7783,Panasonic 2-Line Integrated Telephone - KXTSC14W,Panasonic 2-Line Integrated Telephone - KXTSC14W/ Call Waiting/ 50-Station Caller ID/ Voice Mail Message-Waiting Indicator/ Speakerphone/ 3-Line LCD Display/ White Finish,,panasonic 2line integrated telephone  kxtsc14w,panasonic 2line integrated telephone  kxtsc14w call waiting 50station caller id voice mail messagewaiting indicator speakerphone 3line lcd display white finish,,panasonic,True
7936,Panasonic Integrated Telephone System - KXTS108W,Panasonic Integrated Telephone System - KXTS108W/ 16 Digit LCD With Clock/ Hands Free Speakerphone/ Built-In Data Port/ 10-Station One-Touch Dialing/ 3-Step Ringer Volume/ White Finish,$44.00,panasonic integrated telephone system  kxts108w,panasonic integrated telephone system  kxts108w 16 digit lcd with clock hands free speakerphone builtin data port 10station onetouch dialing 3step ringer volume white finish,44.0,panasonic,False
