id,name,description,manufacturer,price,name_clean,description_clean,manufacturer_clean,price_clean,brand_clean,price_flag
10011646,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,Linksys EtherFast 8-Port 10/100 Switch (New/Workgroup),LINKSYS,,linksys etherfast ezxs88w ethernet switch  ezxs88w,linksys etherfast 8port 10100 switch newworkgroup,linksys,,linksys,True
10140760,Linksys EtherFast EZXS55W Ethernet Switch,5 x 10/100Base-TX LAN,LINKSYS,,linksys etherfast ezxs55w ethernet switch,5 x 10100basetx lan,linksys,,linksys,True
10221960,Netgear ProSafe FS105 Ethernet Switch - FS105NA,NETGEAR FS105 Prosafe 5 Port 10/100 Desktop Switch,Netgear,,netgear prosafe fs105 ethernet switch  fs105na,netgear fs105 prosafe 5 port 10100 desktop switch,netgear,,netgear,True
10246269,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,1 x HD-15 - 1 x HD-15 - 10ft - Beige,Belkin,,belkin pro series high integrity vgasvga monitor extension cable  f3h98210,1 x hd15  1 x hd15  10ft  beige,belkin,,belkin,True
10315184,Netgear ProSafe JFS516 Ethernet Switch,Netgear ProSafe 16 Port 10/100 Rackmount Switch- JFS516NA,Netgear,,netgear prosafe jfs516 ethernet switch,netgear prosafe 16 port 10100 rackmount switch jfs516na,netgear,,netgear,True
10316920,LaCie Pocket Floppy Disk Drive - 706018,LaCie Pocket USB Floppy 1.44 MB,LACIE,,lacie pocket floppy disk drive  706018,lacie pocket usb floppy 144 mb,lacie,,lacie,True
10326220,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,36 Page 4' x 6',Canon,$9.99,canon kp 36ip print cartridge  paper kit  7737a001,36 page 4 x 6,canon,9.99,canon,False
10333368,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,"Optical - USB, PS/2",Kensington,,kensington orbit optical trackball  usb wps2 adapter  64327,optical  usb ps2,kensington,,kensington,True
10333846,Linksys EtherFast EF4116 Ethernet Switch,16 x 10/100Base-TX LAN,LINKSYS,,linksys etherfast ef4116 ethernet switch,16 x 10100basetx lan,linksys,,linksys,True
10333848,Linksys EtherFast EF4124 Ethernet Switch,24 x 10/100Base-TX LAN,LINKSYS,$64.99,linksys etherfast ef4124 ethernet switch,24 x 10100basetx lan,linksys,64.99,linksys,False
